tt0590726	1	nm0001539	actress	["Miss Carrie Bliss"]	Carrie
tt0590726	2	nm0004971	actor	["Zack Morris"]	Zack
tt0590726	3	nm0368172	actor	["Mr. Richard Belding"]	Richard
tt0590726	4	nm0752616	actress	["Ms. Tina Paladrino"]	Tina
tt0590727	1	nm0001539	actress	["Miss Carrie Bliss"]	Carrie
tt0590727	2	nm0004971	actor	["Zack Morris"]	Zack
tt0590727	3	nm0368172	actor	["Mr. Richard Belding"]	Richard
tt0590727	4	nm0752616	actress	["Ms. Tina Paladrino"]	Tina
tt0590743	1	nm0048587	actor	["David Lewis"]	David
tt0590743	2	nm0770742	actor	["Larry Clarke"]	Larry
tt0590743	3	nm0212461	actor	["Roland B. Hutton Jr."]	Roland
tt0590743	4	nm0663554	actress	["Linda Lewis"]	Linda
tt0590744	1	nm0048587	actor	["David Lewis"]	David
tt0590744	2	nm0770742	actor	["Larry Clarke"]	Larry
tt0590744	3	nm0212461	actor	["Roland B. Hutton Jr."]	Roland
tt0590744	4	nm0663554	actress	["Linda Lewis"]	Linda
tt0590828	1	nm0738354	actress	["Florida Evans"]	Florida
tt0590828	3	nm0141876	actor	["Michael Evans"]	Michael
tt0590828	4	nm0822304	actress	["Thelma Evans"]	Thelma
tt0590829	1	nm0738354	actress	["Florida Evans"]	Florida
tt0590829	2	nm0025309	actor	["James Evans, Sr."]	James
tt0590829	4	nm0141876	actor	["Michael Evans"]	Michael
tt0590830	1	nm0738354	actress	["Florida Evans"]	Florida
tt0590830	3	nm0141876	actor	["Michael Evans"]	Michael
tt0590830	4	nm0822304	actress	["Thelma Evans Anderson"]	Thelma
tt0590831	1	nm0738354	actress	["Florida Evans"]	Florida
tt0590831	2	nm0025309	actor	["James Evans, Sr."]	James
tt0590831	4	nm0141876	actor	["Michael Evans"]	Michael
tt0590832	1	nm0738354	actress	["Florida Evans"]	Florida
tt0590832	2	nm0025309	actor	["James Evans, Sr."]	James
tt0590832	4	nm0141876	actor	["Michael Evans"]	Michael
tt0590833	1	nm0738354	actress	["Florida Evans"]	Florida
tt0590833	3	nm0141876	actor	["Michael Evans"]	Michael
tt0590833	4	nm0822304	actress	["Thelma Evans"]	Thelma
tt0590834	1	nm0738354	actress	["Florida Evans"]	Florida
tt0590834	2	nm0025309	actor	["James Evans, Sr."]	James
tt0590834	4	nm0141876	actor	["Michael Evans"]	Michael
tt0590835	1	nm0738354	actress	["Florida Evans"]	Florida
tt0590835	3	nm0141876	actor	["Michael Evans"]	Michael
tt0590835	4	nm0822304	actress	["Thelma Evans Anderson"]	Thelma
tt0590836	2	nm0141876	actor	["Michael Evans"]	Michael
tt0590836	3	nm0822304	actress	["Thelma Evans"]	Thelma
tt0590836	4	nm0113900	actor	["Nathan Bookman"]	Nathan
tt0590837	2	nm0141876	actor	["Michael Evans"]	Michael
tt0590837	3	nm0822304	actress	["Thelma Evans"]	Thelma
tt0590837	4	nm0113900	actor	["Nathan Bookman"]	Nathan
tt0590838	1	nm0738354	actress	["Florida Evans"]	Florida
tt0590838	2	nm0025309	actor	["James Evans, Sr."]	James
tt0590838	4	nm0141876	actor	["Michael Evans"]	Michael
tt0590839	1	nm0738354	actress	["Florida Evans"]	Florida
tt0590839	3	nm0141876	actor	["Michael Evans"]	Michael
tt0590839	4	nm0822304	actress	["Thelma Evans Anderson"]	Thelma
tt0590840	1	nm0738354	actress	["Florida Evans"]	Florida
tt0590840	2	nm0025309	actor	["James Evans, Sr."]	James
tt0590840	4	nm0141876	actor	["Michael Evans"]	Michael
tt0590841	1	nm0738354	actress	["Florida Evans"]	Florida
tt0590841	3	nm0141876	actor	["Michael Evans"]	Michael
tt0590841	4	nm0822304	actress	["Thelma Evans"]	Thelma
tt0590842	1	nm0738354	actress	["Florida Evans"]	Florida
tt0590842	2	nm0025309	actor	["James Evans, Sr."]	James
tt0590842	4	nm0141876	actor	["Michael Evans"]	Michael
tt0590843	1	nm0738354	actress	["Florida Evans"]	Florida
tt0590843	3	nm0141876	actor	["Michael Evans"]	Michael
tt0590843	4	nm0822304	actress	["Thelma Evans Anderson"]	Thelma
tt0590844	1	nm0738354	actress	["Florida Evans"]	Florida
tt0590844	2	nm0025309	actor	["James Evans, Sr."]	James
tt0590844	4	nm0141876	actor	["Michael Evans"]	Michael
tt0590845	1	nm0738354	actress	["Florida Evans"]	Florida
tt0590845	3	nm0141876	actor	["Michael Evans"]	Michael
tt0590845	4	nm0822304	actress	["Thelma Evans"]	Thelma
tt0590846	1	nm0738354	actress	["Florida Evans"]	Florida
tt0590846	2	nm0025309	actor	["James Evans, Sr."]	James
tt0590846	4	nm0141876	actor	["Michael Evans"]	Michael
tt0590847	1	nm0738354	actress	["Florida Evans"]	Florida
tt0590847	2	nm0025309	actor	["James Evans, Sr."]	James
tt0590847	4	nm0141876	actor	["Michael Evans"]	Michael
tt0590848	1	nm0738354	actress	["Florida Evans"]	Florida
tt0590848	3	nm0141876	actor	["Michael Evans"]	Michael
tt0590848	4	nm0822304	actress	["Thelma Evans Anderson"]	Thelma
tt0590849	1	nm0738354	actress	["Florida Evans"]	Florida
tt0590849	3	nm0141876	actor	["Michael Evans"]	Michael
tt0590849	4	nm0822304	actress	["Thelma Evans Anderson"]	Thelma
tt0590850	1	nm0738354	actress	["Florida Evans"]	Florida
tt0590850	3	nm0141876	actor	["Michael Evans"]	Michael
tt0590850	4	nm0822304	actress	["Thelma Evans"]	Thelma
tt0590851	1	nm0738354	actress	["Florida Evans"]	Florida
tt0590851	3	nm0141876	actor	["Michael Evans"]	Michael
tt0590851	4	nm0822304	actress	["Thelma Evans"]	Thelma
tt0590852	1	nm0738354	actress	["Florida Evans"]	Florida
tt0590852	3	nm0141876	actor	["Michael Evans"]	Michael
tt0590852	4	nm0822304	actress	["Thelma Evans Anderson"]	Thelma
tt0590853	1	nm0738354	actress	["Florida Evans"]	Florida
tt0590853	3	nm0141876	actor	["Michael Evans"]	Michael
tt0590853	4	nm0822304	actress	["Thelma Evans Anderson"]	Thelma
tt0590854	1	nm0738354	actress	["Florida Evans"]	Florida
tt0590854	3	nm0141876	actor	["Michael Evans"]	Michael
tt0590854	4	nm0822304	actress	["Thelma Evans"]	Thelma
tt0590855	1	nm0738354	actress	["Florida Evans"]	Florida
tt0590855	2	nm0025309	actor	["James Evans, Sr."]	James
tt0590855	4	nm0141876	actor	["Michael Evans"]	Michael
tt0590856	1	nm0738354	actress	["Florida Evans"]	Florida
tt0590856	2	nm0025309	actor	["James Evans, Sr."]	James
tt0590856	4	nm0141876	actor	["Michael Evans"]	Michael
tt0590857	1	nm0738354	actress	["Florida Evans"]	Florida
tt0590857	2	nm0025309	actor	["James Evans, Sr."]	James
tt0590857	4	nm0141876	actor	["Michael Evans"]	Michael
tt0590858	1	nm0738354	actress	["Florida Evans"]	Florida
tt0590858	2	nm0025309	actor	["James Evans, Sr."]	James
