tt0648135	1	actor	["Mike Hammer"]	Mike
tt0648135	2	actor	["Nick Farrell"]	Nick,Farrell
tt0648135	3	actress	["Velda"]	Velda
tt0648135	4	actor	["District Attorney Barry Lawrence"]	Barry,Lawrence
tt0648136	1	actor	["Mike Hammer"]	Mike
tt0648136	2	actor	["Nick Farrell"]	Nick,Farrell
tt0648136	3	actress	["Velda"]	Velda
tt0648136	4	actor	["Deputy Mayor Barry Lawerence"]	Barry,Lawerence
tt0648137	1	actor	["Mike Hammer"]	Mike
tt0648137	2	actor	["Nick Farrell"]	Nick,Farrell
tt0648137	3	actress	["Velda"]	Velda
tt0648137	4	actor	["Deputy Mayor Barry Lawerence"]	Barry,Lawerence
tt0648138	1	actor	["Mike Hammer"]	Mike
tt0648138	2	actor	["Nick Farrell"]	Nick,Farrell
tt0648138	3	actress	["Velda"]	Velda
tt0648138	4	actor	["District Attorney Barry Lawerence"]	Barry,Lawerence
tt0648139	1	actor	["Mike Hammer"]	Mike
tt0648139	2	actor	["Nick Farrell"]	Nick,Farrell
tt0648139	3	actress	["Velda"]	Velda
tt0648139	4	actor	["Deputy Mayor Barry Lawerence"]	Barry,Lawerence
tt0648140	1	actor	["Mike Hammer"]	Mike
tt0648140	2	actor	["Nick Farrell"]	Nick,Farrell
tt0648140	3	actress	["Velda"]	Velda
tt0648140	4	actor	["Deputy Mayor Barry Lawerence"]	Barry,Lawerence
tt0648141	1	actor	["Mike Hammer"]	Mike
tt0648141	2	actor	["Nick Farrell"]	Nick,Farrell
tt0648141	3	actress	["Velda"]	Velda
tt0648141	4	actor	["Dept. Mayor Barry Lawrence"]	Barry,Lawrence
tt0648142	1	actor	["Mike Hammer"]	Mike
tt0648142	2	actor	["Nick Farrell"]	Nick,Farrell
tt0648142	3	actress	["Velda"]	Velda
tt0648142	4	actor	["Dept. Mayor Barry Lawrence"]	Barry,Lawrence
tt0648143	1	actor	["Mike Hammer"]	Mike
tt0648143	2	actor	["Nick Farrell"]	Nick,Farrell
tt0648143	3	actress	["Velda"]	Velda
tt0648143	4	actor	["Deputy Mayor Barry Lawerence"]	Barry,Lawerence
tt0648144	1	actor	["Mike Hammer"]	Mike
tt0648144	2	actor	["Nick Farrell"]	Nick,Farrell
tt0648144	3	actress	["Velda"]	Velda
tt0648144	4	actor	["Deputy Mayor Barry Lawerence"]	Barry,Lawerence
tt0648145	1	actor	["Mike Hammer"]	Mike
tt0648145	2	actor	["Nick Farrell"]	Nick,Farrell
tt0648145	3	actress	["Velda"]	Velda
tt0648145	4	actor	["District Attorney Barry Lawrence"]	Barry,Lawrence
tt0648146	1	actor	["Mike Hammer"]	Mike
tt0648146	2	actor	["Nick Farrell"]	Nick,Farrell
tt0648146	3	actress	["Velda"]	Velda
tt0648146	4	actor	["Deputy Mayor Barry Lawerence"]	Barry,Lawerence
tt0648147	1	actor	["Mike Hammer"]	Mike
tt0648147	2	actor	["Nick Farrell"]	Nick,Farrell
tt0648147	3	actress	["Velda"]	Velda
tt0648147	4	actor	["Deputy Mayor Barry Lawerence"]	Barry,Lawerence
tt0648148	1	actor	["Mike Hammer"]	Mike
tt0648148	2	actor	["Nick Farrell"]	Nick,Farrell
tt0648148	3	actress	["Velda"]	Velda
tt0648148	4	actor	["Dept. Mayor Barry Lawrence"]	Barry,Lawrence
tt0648149	1	actor	["Mike Hammer"]	Mike
tt0648149	2	actor	["Nick Farrell"]	Nick,Farrell
tt0648149	3	actress	["Velda"]	Velda
tt0648149	4	actor	["Deputy Mayor Lawerence"]	Lawerence
tt0648150	1	actor	["Mike Hammer"]	Mike
tt0648150	2	actor	["Nick Farrell"]	Nick,Farrell
tt0648150	3	actress	["Velda"]	Velda
tt0648150	4	actor	["Dept. Mayor Barry Lawrence"]	Barry,Lawrence
tt0648152	1	actor	["Mike Hammer"]	Mike
tt0648152	2	actor	["Nick Farrell"]	Nick,Farrell
tt0648152	3	actress	["Velda"]	Velda
tt0648152	4	actor	["Dept. Mayor Barry Lawrence"]	Barry,Lawrence
tt0648153	1	actor	["Mike Hammer"]	Mike
tt0648153	2	actor	["Nick Farrell"]	Nick,Farrell
tt0648153	3	actress	["Velda"]	Velda
tt0648153	4	actor	["Deputy Mayor Barry Lawerence"]	Barry,Lawerence
tt0648154	1	actor	["Mike Hammer"]	Mike
tt0648154	2	actor	["Nick Farrell"]	Nick,Farrell
tt0648154	3	actress	["Velda"]	Velda
tt0648154	4	actor	["Deputy Mayor Barry Lawerence"]	Barry,Lawerence
tt0648155	1	actor	["Mike Hammer"]	Mike
tt0648155	2	actor	["Nick Farrell"]	Nick,Farrell
tt0648155	3	actress	["Velda"]	Velda
tt0648155	4	actor	["Deputy Mayor Barry Lawerence"]	Barry,Lawerence
tt0648156	1	actor	["Mike Hammer"]	Mike
tt0648156	2	actor	["Nick Farrell"]	Nick,Farrell
tt0648156	3	actress	["Velda"]	Velda
tt0648156	4	actor	["Deputy Mayor Barry Lawerence"]	Barry,Lawerence
tt0648157	1	actor	["Mike Hammer"]	Mike
tt0648157	2	actor	["Nick Farrell"]	Nick,Farrell
tt0648157	3	actress	["Velda"]	Velda
tt0648157	4	actor	["Deputy Mayor Barry Lawerence"]	Barry,Lawerence
tt0648158	1	actor	["Mike Hammer"]	Mike
tt0648158	2	actor	["Nick Farrell"]	Nick,Farrell
tt0648158	3	actress	["Velda"]	Velda
tt0648158	4	actor	["Capt. Skip Gleason"]	Skip
tt0648168	3	actor	["Bob Johnson","King of Curtains"]	Bob,Johnson,King
tt0648171	1	actress	["K.C. Gregory"]	Gregory
tt0648171	2	actor	["Jason Murdoch"]	Jason
tt0648171	3	actress	["Emma Coyle"]	Emma
tt0648171	4	actress	["Lehann Evans"]	Evans
tt0648171	6	actor	["Will O'Brien"]	Will
tt0648171	7	actor	["Marco Bailey"]	Marco,Bailey
tt0648172	10	actor	["Marco Bailey"]	Marco,Bailey
tt0648172	1	actress	["Emma Coyle"]	Emma
tt0648172	2	actor	["Will O'Brien"]	Will
tt0648172	3	actor	["Tim"]	Tim
tt0648172	4	actor	["Rob"]	Rob
tt0648172	7	actor	["Gary"]	Gary
tt0648172	8	actor	["Jason Murdoch"]	Jason
tt0648172	9	actress	["Lehann Evans"]	Evans
tt0648173	10	actor	["Dario","Darren"]	Dario,Darren
tt0648173	1	actress	["Janis Steele"]	Janis
tt0648173	2	actress	["Emma Coyle"]	Emma
tt0648173	3	actor	["Kevin MacMillan"]	Kevin
tt0648173	4	actor	["Ian"]	Ian
tt0648173	7	actress	["Kim"]	Kim
tt0648173	8	actress	["Lehann Evans"]	Evans
tt0648173	9	actress	["K.C. Gregory"]	Gregory
tt0648174	10	actor	["Will O'Brien"]	Will
