tt0855345	2	nm0001208	actor	["Dr. Garret Macy"]	Garret
tt0855345	4	nm1063517	actress	["Lily Lebowski"]	Lily
tt0855347	1	nm0752751	actor	["Burke Devlin"]	Burke
tt0855347	2	nm0249500	actor	["Roger Collins"]	Roger
tt0855347	3	nm0057235	actress	["Carolyn Stoddard"]	Carolyn
tt0855347	4	nm0376973	actor	["David Collins"]	David
tt0855348	1	nm0249500	actor	["Roger Collins"]	Roger
tt0855348	2	nm0057235	actress	["Carolyn Stoddard"]	Carolyn
tt0855348	3	nm0779421	actress	["Maggie Evans"]	Maggie
tt0855348	4	nm0376973	actor	["David Collins"]	David
tt0855349	1	nm0752751	actor	["Burke Devlin"]	Burke
tt0855349	2	nm0249500	actor	["Roger Collins"]	Roger
tt0855349	3	nm0057235	actress	["Carolyn Stoddard"]	Carolyn
tt0855349	4	nm0203076	actor	["Matthew Morgan"]	Matthew
tt0855350	1	nm0752751	actor	["Burke Devlin"]	Burke
tt0855350	2	nm0249500	actor	["Roger Collins"]	Roger
tt0855350	3	nm0779421	actress	["Maggie Evans"]	Maggie
tt0855350	4	nm0285596	actor	["Sam Evans"]	Sam
tt0855351	1	nm0000910	actress	["Elizabeth Collins Stoddard"]	Elizabeth
tt0855351	2	nm0249500	actor	["Roger Collins"]	Roger
tt0855351	3	nm0285596	actor	["Sam Evans"]	Sam
tt0855351	4	nm0203076	actor	["Matthew Morgan"]	Matthew
tt0855352	1	nm0000910	actress	["Elizabeth Collins Stoddard"]	Elizabeth
tt0855352	2	nm0752751	actor	["Burke Devlin"]	Burke
tt0855352	3	nm0249500	actor	["Roger Collins"]	Roger
tt0855352	4	nm0253020	actor	["Sheriff George Patterson"]	George
tt0855353	1	nm0249500	actor	["Roger Collins"]	Roger
tt0855353	2	nm0057235	actress	["Carolyn Stoddard"]	Carolyn
tt0855353	3	nm0291443	actor	["Richard Garner"]	Richard
tt0855353	4	nm0253020	actor	["Sheriff George Patterson"]	George
tt0855354	1	nm0000910	actress	["Elizabeth Collins Stoddard"]	Elizabeth
tt0855354	2	nm0285596	actor	["Sam Evans"]	Sam
tt0855354	3	nm0203076	actor	["Matthew Morgan"]	Matthew
tt0855354	4	nm0288619	actor	["Frank Garner"]	Frank
tt0855355	1	nm0000910	actress	["Elizabeth Collins Stoddard"]	Elizabeth
tt0855355	2	nm0203076	actor	["Matthew Morgan"]	Matthew
tt0855355	3	nm0253020	actor	["Sheriff George Patterson"]	George
tt0855355	4	nm0288619	actor	["Frank Garner"]	Frank
tt0855356	1	nm0000910	actress	["Elizabeth Collins Stoddard"]	Elizabeth
tt0855356	2	nm0203076	actor	["Matthew Morgan"]	Matthew
tt0855356	3	nm0253020	actor	["Sheriff George Patterson"]	George
tt0855356	4	nm0288619	actor	["Frank Garner"]	Frank
tt0855357	1	nm0000910	actress	["Elizabeth Collins Stoddard"]	Elizabeth
tt0855357	2	nm0249500	actor	["Roger Collins"]	Roger
tt0855357	3	nm0203076	actor	["Matthew Morgan"]	Matthew
tt0855357	4	nm0253020	actor	["Sheriff George Patterson"]	George
tt0855358	1	nm0752751	actor	["Burke Devlin"]	Burke
tt0855358	2	nm0085588	actress	["Mrs. Sarah Johnson"]	Sarah
tt0855358	3	nm0203076	actor	["Matthew Morgan"]	Matthew
tt0855358	4	nm0376973	actor	["David Collins"]	David
tt0855359	1	nm0000910	actress	["Elizabeth Collins Stoddard"]	Elizabeth
tt0855359	2	nm0752751	actor	["Burke Devlin"]	Burke
tt0855359	3	nm0249500	actor	["Roger Collins"]	Roger
tt0855359	4	nm0376973	actor	["David Collins"]	David
tt0855360	1	nm0000910	actress	["Elizabeth Collins Stoddard"]	Elizabeth
tt0855360	2	nm0376973	actor	["David Collins"]	David
tt0855360	3	nm0203076	actor	["Matthew Morgan"]	Matthew
tt0855360	4	nm0411308	actress	["Victoria Winters"]	Victoria
tt0855361	1	nm0000910	actress	["Elizabeth Collins Stoddard"]	Elizabeth
tt0855361	2	nm0085588	actress	["Mrs. Sarah Johnson"]	Sarah
tt0855361	3	nm0203076	actor	["Matthew Morgan"]	Matthew
tt0855361	4	nm0411308	actress	["Victoria Winters"]	Victoria
tt0855362	1	nm0000910	actress	["Elizabeth Collins Stoddard"]	Elizabeth
tt0855362	2	nm0752751	actor	["Burke Devlin"]	Burke
tt0855362	3	nm0085588	actress	["Mrs. Sarah Johnson"]	Sarah
tt0855362	4	nm0057235	actress	["Carolyn Stoddard"]	Carolyn
tt0855363	1	nm0000910	actress	["Elizabeth Collins Stoddard"]	Elizabeth
tt0855363	2	nm0752751	actor	["Burke Devlin"]	Burke
tt0855363	3	nm0203076	actor	["Matthew Morgan"]	Matthew
tt0855363	4	nm0189402	actor	["Joe Haskell"]	Joe
tt0855364	1	nm0000910	actress	["Elizabeth Collins Stoddard"]	Elizabeth
tt0855364	2	nm0752751	actor	["Burke Devlin"]	Burke
tt0855364	3	nm0249500	actor	["Roger Collins"]	Roger
tt0855364	4	nm0057235	actress	["Carolyn Stoddard"]	Carolyn
tt0855365	1	nm0203076	actor	["Matthew Morgan"]	Matthew
tt0855365	2	nm0085588	actress	["Mrs. Sarah Johnson"]	Sarah
tt0855365	3	nm0376973	actor	["David Collins"]	David
tt0855365	4	nm0411308	actress	["Victoria Winters"]	Victoria
tt0855366	1	nm0000910	actress	["Elizabeth Collins Stoddard"]	Elizabeth
tt0855366	2	nm0085588	actress	["Mrs. Sarah Johnson"]	Sarah
tt0855366	3	nm0253020	actor	["Sheriff George Patterson"]	George
tt0855366	4	nm0203076	actor	["Matthew Morgan"]	Matthew
tt0855367	1	nm0752751	actor	["Burke Devlin"]	Burke
tt0855367	2	nm0203076	actor	["Matthew Morgan"]	Matthew
tt0855367	3	nm0057235	actress	["Carolyn Stoddard"]	Carolyn
tt0855367	4	nm0376973	actor	["David Collins"]	David
tt0855368	1	nm0203076	actor	["Matthew Morgan"]	Matthew
tt0855368	2	nm0189402	actor	["Joe Haskell"]	Joe
tt0855368	3	nm0779421	actress	["Maggie Evans"]	Maggie
tt0855368	4	nm0587765	actress	["Laura Collins"]	Laura
tt0855369	1	nm0203076	actor	["Matthew Morgan"]	Matthew
tt0855369	2	nm0285596	actor	["Sam Evans"]	Sam
tt0855369	3	nm0587765	actress	["Laura Collins"]	Laura
tt0855369	4	nm0779421	actress	["Maggie Evans"]	Maggie
tt0855370	1	nm0752751	actor	["Burke Devlin"]	Burke
tt0855370	2	nm0249500	actor	["Roger Collins"]	Roger
tt0855370	3	nm0203076	actor	["Matthew Morgan"]	Matthew
tt0855370	4	nm0376973	actor	["David Collins"]	David
tt0855371	1	nm0000910	actress	["Elizabeth Collins Stoddard"]	Elizabeth
tt0855371	2	nm0249500	actor	["Roger Collins"]	Roger
tt0855371	3	nm0285596	actor	["Sam Evans"]	Sam
tt0855371	4	nm0376973	actor	["David Collins"]	David
tt0855372	1	nm0249500	actor	["Roger Collins"]	Roger
tt0855372	2	nm0285596	actor	["Sam Evans"]	Sam
tt0855372	3	nm0779421	actress	["Maggie Evans"]	Maggie
tt0855372	4	nm0411308	actress	["Victoria Winters"]	Victoria
tt0855373	1	nm0000910	actress	["Elizabeth Collins Stoddard"]	Elizabeth
tt0855373	2	nm0752751	actor	["Burke Devlin"]	Burke
tt0855373	3	nm0057235	actress	["Carolyn Stoddard"]	Carolyn
tt0855373	4	nm0203076	actor	["Matthew Morgan"]	Matthew
tt0855374	1	nm0000910	actress	["Elizabeth Collins Stoddard"]	Elizabeth
tt0855374	2	nm0752751	actor	["Burke Devlin"]	Burke
tt0855374	3	nm0249500	actor	["Roger Collins"]	Roger
tt0855374	4	nm0774519	actor	["Bill Malloy"]	Bill
tt0855375	1	nm0752751	actor	["Burke Devlin"]	Burke
tt0855375	2	nm0249500	actor	["Roger Collins"]	Roger
tt0855375	3	nm0774519	actor	["Bill Malloy"]	Bill
tt0855375	4	nm0285596	actor	["Sam Evans"]	Sam
tt0855376	1	nm0000910	actress	["Elizabeth Collins Stoddard"]	Elizabeth
tt0855376	2	nm0249500	actor	["Roger Collins"]	Roger
tt0855376	3	nm0189402	actor	["Joe Haskell"]	Joe
tt0855376	4	nm0285596	actor	["Sam Evans"]	Sam
