name	sex	dramaRatio	actionRatio	comedyRation	total
Danielle	F	0.332992624616531	0.280890590199827	0.386116785183642	249
Julius	M	0.318521761173936	0.332099109855797	0.349379128970267	249
Terry	F	0.297824942892167	0.385530986614777	0.316644070493056	249
Cheryl	F	0.27921631477478	0.297684801044974	0.423098884180245	249
Duncan	M	0.29496957408976	0.432546081385399	0.272484344524841	248
Spencer	M	0.265881418638331	0.375178078358533	0.358940503003136	248
Elisa	F	0.420037727756455	0.259307946004117	0.320654326239428	247
Fiona	F	0.359591790156136	0.236791449513211	0.403616760330653	247
Dale	M	0.267782651352366	0.356061191624021	0.376156157023613	247
Reggie	M	0.236611126165763	0.265582832092384	0.497806041741852	246
Sonja	F	0.401899294522714	0.276074754152711	0.322025951324575	245
Susana	F	0.403879778435809	0.171258979616817	0.424861241947374	245
Flora	F	0.360677912034633	0.247006928004212	0.392315159961156	245
Greta	F	0.335165460766075	0.285079480061285	0.37975505917264	245
Dolly	F	0.355776549682368	0.177185882229827	0.467037568087805	245
Allan	M	0.285735640062177	0.454172363832918	0.260091996104904	245
Drew	M	0.306587490402669	0.281915787995822	0.411496721601509	245
Nathalie	F	0.454414805727868	0.116721886511501	0.428863307760632	244
Bella	F	0.353167868690166	0.271946672868553	0.374885458441281	244
Clay	M	0.258420673719476	0.510510592199384	0.23106873408114	244
Lina	F	0.501956197926196	0.178953972147695	0.319089829926109	243
Johanna	F	0.480747833516566	0.196564804382879	0.322687362100555	243
Kai	M	0.280089568699051	0.492897809026827	0.227012622274123	243
Marvin	M	0.240002833819145	0.321294250493083	0.438702915687771	243
Emil	M	0.392725587663464	0.252776768685685	0.354497643650851	242
Luca	M	0.342465438496247	0.281892168458897	0.375642393044856	241
Gilbert	M	0.32247746416554	0.326694829934573	0.350827705899887	241
Jasmine	F	0.267128255112849	0.405932644474713	0.326939100412438	240
Norma	F	0.453843371635017	0.188091303946141	0.358065324418842	239
Susanne	F	0.433701728449663	0.148085205632491	0.418213065917845	239
Mari	F	0.380992596112199	0.320678663360692	0.298328740527109	239
Tess	F	0.381676702774925	0.304647733547431	0.313675563677644	239
Marshall	M	0.297327686778519	0.412190511925968	0.290481801295513	239
Parker	M	0.239049758993159	0.454392187195422	0.306558053811419	239
Bud	M	0.232711232760237	0.374587918825732	0.392700848414031	239
Lucky	M	0.207273549491584	0.496326471732642	0.296399978775774	239
Erin	F	0.386997573964278	0.220725980631631	0.392276445404091	238
Nicolas	M	0.336261016905253	0.316325883910945	0.347413099183802	238
Cal	M	0.314905875262897	0.409503777761079	0.275590346976024	238
Cameron	M	0.302705069528611	0.350176965659884	0.347117964811505	238
Robbie	M	0.320451044823902	0.266147871380275	0.413401083795823	238
Conrad	M	0.269127992928849	0.40897148010654	0.321900526964612	238
Eugene	M	0.282403164558378	0.324983332433835	0.392613503007786	238
Celia	F	0.411747643305514	0.232691442748803	0.355560913945683	237
Harriet	F	0.376537545022716	0.21166483999969	0.411797614977594	237
Cole	M	0.304246165064704	0.488447630004681	0.207306204930616	237
Cassie	F	0.317929251468087	0.360959720969131	0.321111027562783	237
Hubert	M	0.221550047312044	0.347359199268708	0.431090753419248	237
