Name	Sex	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	Total
Anna	F	0.00376454483230664	0.00507423416651005	0.00738585496866607	0.00588650812338121	0.0052413190652981	0.00448521916411825	0.00494539460127756	0.00357924040564725	0.00643400272957692	0.00559413580246914	0.00457165573444643	0.00485524186297429	0.00652136605457354	0.00438744515693554	0.00447909754479098	0.00562276367353893	0.00639085099226371	0.00478384124734231	0.00518672199170124	0.0052109598251807	0.005332874591433	0.00466643622537159	0.00534045393858478	0.00425330812854442	0.00605060506050605	0.00367786937222575	0.00485860221751588	0.00466773123694878	0.00439506775729459	0.00512877689820493	0.00320360702420503	0.00449793338195964	0.00466970387243736	0.00432215897111533	0.00328914581879797	0.00495910910040021	0.00461855670103093	0.00387897595034911	0.00514743731156703	0.00400624702926597	0.0054371878358728	0.00388098318240621	0.00435894455422527	0.004010471787445	0.00506341805785331	0.00486063317274604	0.00474851846223978	0.00544569751274525	0.00499525997228907	0.00462661279812329	0.00477063060786048	0.00428422447081372	0.0038813721470548	0.00415318230852211	0.0038607846477034	0.00447508130194291	0.00462616692983185	0.0044954128440367	0.00366300366300366	4100
George	M	0.00804243668720055	0.00883292614170269	0.00783348254252462	0.00871203202260419	0.00851714348110941	0.00611620795107034	0.00700597568514321	0.00775502087890237	0.00662897250926106	0.00887345679012346	0.00775193798449612	0.00575436072648804	0.00634975115840055	0.00793115086061424	0.0079628400796284	0.00613392400749702	0.00588631012445341	0.0054925584691708	0.00501383125864454	0.0100857286938981	0.0070531567177017	0.00466643622537159	0.00600801068090788	0.00441083805923125	0.00591309130913091	0.00545339251743817	0.00423570449732154	0.0060189165950129	0.0046392381882554	0.00434831084847809	0.00462743236829616	0.00534889375151957	0.00535307517084282	0.00548176259751212	0.00328914581879797	0.00356707847572647	0.00305154639175258	0.00364623739332816	0.00330906684315023	0.00366673456915869	0.00335082506164254	0.00363457155177724	0.00418458677205626	0.00451178076087562	0.00325863538376698	0.00301101169993118	0.0035328977359064	0.00343735516761934	0.00342740465251951	0.00319301446631044	0.00315935801845065	0.00295949716733843	0.0033347000136668	0.00323624595469256	0.00266848350650088	0.00322428218028185	0.00271475664145821	0.00287461773700306	0.0031602384543561	4058
James	M	0.00342231348391513	0.00375869197519263	0.00335720680393912	0.00541558747351071	0.00436776588774842	0.00346585117227319	0.00515145270966413	0.0039769337840525	0.00487424449210372	0.00443672839506173	0.0033790498906778	0.00449559431756878	0.00326068302728677	0.00472494093823827	0.00348374253483743	0.00306696200374851	0.00353178607467205	0.00336640680368533	0.00311203319502075	0.00252143217347453	0.00309650782728367	0.00311095748358106	0.00350467289719626	0.00330812854442344	0.00288778877887789	0.00317057704502219	0.0036128067771272	0.00380788600908979	0.00341838603345135	0.00379083509867321	0.00450878025628856	0.00389010454655969	0.00284738041002278	0.00368964790217162	0.00418618558756105	0.00269705933530538	0.00404123711340206	0.00341349883630721	0.00323553202441356	0.0042778569973518	0.00373016374786622	0.00314174829051931	0.00308032081831919	0.0038990697933493	0.00381009675640447	0.00404335856847901	0.00455857772375019	0.00417117256295381	0.00426602493983811	0.00420304965463313	0.00458106912675344	0.00479156684235745	0.0047013803471368	0.00563646170442287	0.00519502640095384	0.00580926703171471	0.0050970941023297	0.00470948012232416	0.00409394527041586	3902
Mike	M	0.0039356605065024	0.00394662657395227	0.00313339301700985	0.00494466682364022	0.00305743612142389	0.00652395514780836	0.00391510405934473	0.00596540067607874	0.00584909339052447	0.00347222222222222	0.00198767640628106	0.00431577054486603	0.00600652136605457	0.00371245359433007	0.00248838752488388	0.00460044300562276	0.00353178607467205	0.00531537916371368	0.00501383125864454	0.0052109598251807	0.00395664889041803	0.00345661942620118	0.00433911882510013	0.00425330812854442	0.0033003300330033	0.0041851616994293	0.00373738632116606	0.00614175162756418	0.00488340861921621	0.00501728174824395	0.00391551969625059	0.00449793338195964	0.00421412300683371	0.00558718110900274	0.00418618558756105	0.00469810335827388	0.00404123711340206	0.00449961210240496	0.00352967129936025	0.00420995450533035	0.0045520642346842	0.00542105587383724	0.00406834825061025	0.00428897677268423	0.00350929964405675	0.00438747419132829	0.00372283847439599	0.00393944075390082	0.00503172172391162	0.00456144923758634	0.00511815998989005	0.00442515290735365	0.00483804838048381	0.00439590075512406	0.00377562028047465	0.00383578397309392	0.0038505221751295	0.00425076452599388	0.00466853408029879	3885
Robert	M	0.0054757015742642	0.00469836496899079	0.00693822739480752	0.00423828584883447	0.00589648394846036	0.0055045871559633	0.00515145270966413	0.00656194074368662	0.00428933515305128	0.00501543209876543	0.00437288809381833	0.00449559431756878	0.00377552771580573	0.00523118461019237	0.00646980756469808	0.00511160333958085	0.00538176925664312	0.00407512402551382	0.0063969571230982	0.0052109598251807	0.00550490280405987	0.00345661942620118	0.00467289719626168	0.00661625708884688	0.00481298129812981	0.00443880786303107	0.00622897720194344	0.00380788600908979	0.00402881211085338	0.00434831084847809	0.00522069292833412	0.00461949914903963	0.00489749430523918	0.00516550706304027	0.00378750124588857	0.0039150861318949	0.00437113402061856	0.00527540729247479	0.0052209721303037	0.00448156447341617	0.00448884112031359	0.00344976282880552	0.00401022898988725	0.00456748175792347	0.0034591667919988	0.00348417068134893	0.00455857772375019	0.00405530665842731	0.00426602493983811	0.00338850514792128	0.00350688740048022	0.00329772541503425	0.0033620336203362	0.00323624595469256	0.00266848350650088	0.00383578397309392	0.0033241918058672	0.00391437308868502	0.00301659125188537	3874
Sam	M	0.00701574264202601	0.00657771095658711	0.00581915846016115	0.00541558747351071	0.00393098929897358	0.00387359836901121	0.00597568514321039	0.00517001391926824	0.00409436537336713	0.00405092592592593	0.00655933214072749	0.00521488940837979	0.00377552771580573	0.00590617617279784	0.00348374253483743	0.00460044300562276	0.00554994954591322	0.00248051027639972	0.00328492392807746	0.00302571860816944	0.00344056425253742	0.002938126512271	0.00300400534045394	0.00441083805923125	0.00385038503850385	0.00317057704502219	0.00348822723308833	0.00479056626950006	0.00366255646441216	0.00512877689820493	0.00332225913621262	0.00340384147823973	0.00375854214123007	0.00390048492515286	0.00508322535632413	0.00461110144423177	0.00362886597938144	0.00395655546935609	0.00389734539304361	0.00346302709309432	0.00360371751912499	0.00308014538286207	0.00348715564338022	0.00311925583467944	0.00330876823582494	0.00365622849277357	0.00345692144051056	0.00308975745403986	0.0035732516590097	0.00371432295060602	0.00394919752306331	0.00417148172158178	0.0029793631269646	0.00391046386192017	0.00465565207517175	0.00475303666231203	0.00324108701072052	0.00391437308868502	0.00366300366300366	3646
Maria	F	0.00342231348391513	0.00469836496899079	0.0044762757385855	0.00588650812338121	0.00611487224284778	0.00570846075433231	0.00618174325159695	0.00556770729767349	0.00526418405147202	0.00559413580246914	0.00556549393758696	0.00557453695378529	0.00617813626222756	0.00421869726628417	0.00282017252820173	0.00460044300562276	0.00336360578540195	0.00496102055279943	0.00535961272475795	0.00537905530341234	0.00447273352829864	0.00570342205323194	0.00500667556742323	0.00409577819785759	0.00302530253025303	0.00393151553582752	0.00298990905693285	0.00393072104164108	0.00476132340373581	0.00345634964879028	0.00533934504034172	0.00364697301239971	0.00318906605922551	0.003584229390681	0.00358815907505233	0.00382808421785279	0.00387628865979381	0.004344453064391	0.00352967129936025	0.0042778569973518	0.00391983309097806	0.00375777736709173	0.00435894455422527	0.00434467776973208	0.00551461372637489	0.00400034411562285	0.00296307552043762	0.0043642824038313	0.00360971341063225	0.00329075980711586	0.00357007456084924	0.00425603878350574	0.0041547082137488	0.00329018338727077	0.00343496281155964	0.00344664646857715	0.00277015983822267	0.00376146788990826	0.00208288443582561	3604
Sarah	F	0.00171115674195756	0.00338282277767337	0.00223813786929275	0.00117730162467624	0.000873553177549683	0.00122324159021407	0.00206058108386565	0.000596540067607874	0.00116981867810489	0.00289351851851852	0.00178890876565295	0.00179823772702751	0.00240260854642183	0.0025312183597705	0.00165892501658925	0.00272618844777645	0.00218634376051127	0.00212615166548547	0.00190179806362379	0.00353000504286435	0.00258042318940306	0.00276529554096094	0.00267022696929239	0.00267800882167612	0.00316281628162816	0.0020291693088142	0.00298990905693285	0.00245670065102567	0.00329630081797094	0.00423681569851711	0.00367821547223541	0.00425480184779966	0.00364464692482916	0.003584229390681	0.00458486992923353	0.00417609187402123	0.00412371134020619	0.00418929402637704	0.00352967129936025	0.0042778569973518	0.00391983309097806	0.0043122035360069	0.00540509124723933	0.004010471787445	0.00396049531257833	0.00447350309704061	0.00459656587144811	0.00517534373551676	0.00503172172391162	0.00563664798644598	0.00524453431062808	0.00574988021082894	0.0044827114937816	0.00447680690399137	0.00539374325782093	0.00516996970286572	0.0050970941023297	0.00437308868501529	0.00538677009265245	3509
Jim	M	0.00872689938398357	0.00488629956775042	0.00425246195165622	0.00470920649870497	0.00655164883162263	0.00570846075433231	0.00803626622707604	0.00357924040564725	0.00487424449210372	0.00520833333333333	0.00496919101570264	0.00449559431756878	0.00446198730049768	0.00421869726628417	0.0039814200398142	0.00374850911569262	0.00353178607467205	0.00407512402551382	0.00466804979253112	0.00453857791225416	0.00395664889041803	0.00380228136882129	0.00350467289719626	0.00346565847511027	0.00316281628162816	0.00329740012682308	0.00336364768904946	0.00405355607419236	0.00402881211085338	0.0018954175493366	0.00332225913621262	0.0037685387794797	0.00261958997722096	0.00263546278726544	0.00308980364796173	0.00278406124934749	0.00338144329896907	0.0030256012412723	0.00294139274946687	0.00258029469681537	0.00240247834608333	0.00246411630628966	0.00273160525398117	0.00256224586420097	0.00300797112347721	0.0028819683413627	0.00265917033885428	0.00297389154951336	0.00295340188142638	0.00234588817933012	0.00271704789586756	0.00236759773387074	0.0022140221402214	0.00240021574973031	0.00266848350650088	0.00241821163521139	0.00224382946896036	0.00253822629969419	0.00251382604323781	3455
Bill	M	0.00530458590006845	0.00451043037023116	0.00470008952551477	0.0077701907228632	0.00458615418213584	0.00428134556574924	0.00535751081805069	0.00437462716245775	0.00487424449210372	0.00520833333333333	0.0033790498906778	0.00449559431756878	0.00532006178136262	0.0035437057036787	0.00381552753815528	0.00357812233770659	0.00437268752102254	0.00372076541459957	0.00397648686030429	0.0047066733904858	0.00223636676414932	0.00449360525406153	0.00267022696929239	0.00488342785129175	0.00426292629262926	0.0051997463538364	0.0039865454092438	0.00294804078123081	0.00427298254181419	0.00367933994871223	0.00355956336022781	0.00316070994407975	0.00353075170842825	0.00421674045962471	0.00368783016047045	0.00348007656168436	0.00329896907216495	0.00333591931730023	0.00360320611809692	0.00271609968085829	0.00316115571853069	0.00277213084457586	0.00290596303615018	0.00317495683172729	0.00220584549054996	0.00270991052993806	0.00235526515727093	0.00258767186775838	0.002661707868446	0.00247621530040401	0.00306457727789713	0.00217029792271485	0.0023780237802378	0.00248112189859763	0.00215749730312837	0.0020012785946577	0.00260395024792931	0.00232415902140673	0.00179559003088415	3350
