name	sex	total	realFreq	cinemaFreq	ratio	
Samantha	F	570659	0.16392570162706	0.126896619398233	0.563662723855379	True
Rachel	F	562969	0.161716696519786	0.191348505173435	0.458036350635036	False
Evelyn	F	562951	0.161711525896648	0.0593224969418807	0.731613729958589	True
Jose	M	560679	0.161058878353901	0.0473910924817656	0.772650040238543	True
Alice	F	560070	0.160883938937733	0.269181405296428	0.374091846959273	False
Douglas	M	557332	0.16009742970708	0.0485061770107483	0.767472011754997	True
Janet	F	555931	0.159694982872842	0.101361183684529	0.611726529883548	True
Carolyn	F	554834	0.159379862118268	0.0248663849963146	0.865037223901498	True
Debra	F	550339	0.158088642617982	0.0152766580470633	0.911881685732608	True
Adam	M	549775	0.157926629759659	0.2452070879233	0.391747509157393	False
Harold	M	549571	0.157868029364095	0.0897643045831089	0.637509758308675	True
Martha	F	548387	0.157527917264354	0.126227568680844	0.55515373293885	True
Maria	F	543324	0.156073535878381	0.401876464245372	0.279726742259636	False
Nathan	M	542579	0.155859529531837	0.0792825100106714	0.662831409624059	True
Marie	F	536143	0.154010744503174	0.22714271855378	0.404064922480216	False
Zachary	M	531709	0.152737047670189	0.0110393368369289	0.932595063261705	True
Arthur	M	527281	0.15146507437825	0.18454648954664	0.450773397823021	False
Heather	F	524517	0.150671096469732	0.0789479846519765	0.656178466239352	True
Diane	F	517994	0.148797320095902	0.0898758130360072	0.62343556705926	True
Julie	F	507819	0.145874481738748	0.225470091760306	0.392827826630728	False
Joyce	F	507211	0.145699829579421	0.0461644994998846	0.759389878663673	True
Carl	M	502692	0.144401715914951	0.174956762597389	0.452161835776567	False
Grace	F	490185	0.14080899460459	0.127454161662725	0.524891291684791	True
Albert	M	487565	0.140056381681175	0.143065345068483	0.49468609593857	False
Victoria	F	486583	0.139774295463315	0.108497724670019	0.562988513116579	True
Rose	F	481286	0.138252695976549	0.157115410133665	0.468069141916633	False
Joan	F	479918	0.137859728618064	0.114519181126525	0.546241081545126	True
Kyle	M	477768	0.137242126409918	0.0943361511519381	0.592638169066871	True
Christina	F	475751	0.136662729361625	0.0538585827498654	0.717309406737929	True
Kelly	F	471024	0.135304866274228	0.114519181126525	0.54160064926488	True
Ann	F	468347	0.134535879710876	0.132695058948944	0.50344425082508	True
Lauren	F	466475	0.133998134904528	0.0652324449454891	0.672578150429534	True
Doris	F	461821	0.132661241566523	0.0677971393621493	0.661789449520332	True
Jean	F	457788	0.131502734726779	0.0884262031483297	0.597932841386501	True
Lawrence	M	456773	0.131211169033166	0.0480601431991552	0.731913920857158	True
Julia	F	455999	0.130988832238233	0.208966840731362	0.385311505744304	False
Judith	F	452151	0.129883467914073	0.0596570223005755	0.685254468673074	True
Kathryn	F	451229	0.129618617106673	0.0144960988767754	0.899412778369974	True
Joe	M	450780	0.129489638785065	0.489856633582109	0.209074704349392	False
Mildred	F	450608	0.129440230608413	0.0208520806919769	0.8612565039984	True
Willie	M	448702	0.128892719069471	0.0597685307534738	0.683196571582318	True
Gerald	M	447212	0.128464706376384	0.0497327699926293	0.720912040922274	True
Roger	M	439209	0.126165789877877	0.170496424481458	0.425284325981122	False
Lillian	F	439193	0.126161193768421	0.0297727569238386	0.809068154871571	True
Cheryl	F	439193	0.126161193768421	0.0399200261375814	0.759635519535712	True
Megan	F	436520	0.125393356232434	0.0625562420759306	0.667164800356232	True
Keith	M	434474	0.124805628735752	0.0676856309092511	0.648370367391857	True
Olivia	F	434319	0.124761103925397	0.0803975945396541	0.60811998155004	True
Jeremy	M	434246	0.124740134176004	0.0791710015577731	0.61173772450987	True
Andrea	F	431157	0.123852797794162	0.0892067623186176	0.581305986591742	True
Hannah	F	427766	0.122878709846338	0.0917714567352778	0.572460351665351	True
Sara	F	422998	0.121509069228459	0.186553641698809	0.394429656425203	False
Terry	M	422580	0.121388995868922	0.0982389470033776	0.552702876880755	True
Harry	M	420908	0.120908702430773	0.33229518963685	0.266786549160377	False
Jacqueline	F	420651	0.120834877422637	0.0331180105107868	0.784882174310959	True
Jesse	M	416530	0.119651091980884	0.0724804943838768	0.622755967640464	True
Sean	M	416478	0.119636154625152	0.12199024747071	0.495128651452948	False
Christian	M	414880	0.119177118193238	0.0965663202099035	0.552402052527511	True
Teresa	F	413333	0.118732731860214	0.0941131342461415	0.557834333511957	True
Ethan	M	413193	0.118692515902474	0.0554197010904412	0.681701249644669	True
Ralph	M	412417	0.11846960459386	0.0882031862425331	0.573223035864664	True
Gloria	F	411295	0.11814730241826	0.10649057251785	0.525945602235877	True
Austin	M	407627	0.117093644325479	0.0240858258260267	0.829395691879427	True
Janice	F	405595	0.116509938424572	0.0447148896122071	0.722655064007843	True
Roy	M	404333	0.116147420291232	0.122882315093896	0.485912014687602	False
